"site" "replicate" "location" "wavenumber" "intensity" "id"
"92" "Beach" "01" "Inside" 3811.22154 1.00671 1
"93" "Beach" "01" "Inside" 3809.18236 1.00637 1
"94" "Beach" "01" "Inside" 3807.14318 1.00652 1
"95" "Beach" "01" "Inside" 3805.10401 1.0068 1
"96" "Beach" "01" "Inside" 3803.06483 1.00687 1
"97" "Beach" "01" "Inside" 3801.02565 1.00705 1
"98" "Beach" "01" "Inside" 3798.98648 1.00722 1
"99" "Beach" "01" "Inside" 3796.9473 1.00708 1
"100" "Beach" "01" "Inside" 3794.90812 1.0068 1
"101" "Beach" "01" "Inside" 3792.86895 1.00661 1
"102" "Beach" "01" "Inside" 3790.82977 1.00666 1
"103" "Beach" "01" "Inside" 3788.79059 1.00681 1
"104" "Beach" "01" "Inside" 3786.75142 1.00681 1
"105" "Beach" "01" "Inside" 3784.71224 1.00668 1
"106" "Beach" "01" "Inside" 3782.67306 1.00651 1
"107" "Beach" "01" "Inside" 3780.63389 1.00644 1
"108" "Beach" "01" "Inside" 3778.59471 1.00664 1
"109" "Beach" "01" "Inside" 3776.55553 1.00695 1
"110" "Beach" "01" "Inside" 3774.51636 1.00701 1
"111" "Beach" "01" "Inside" 3772.47718 1.00684 1
"112" "Beach" "01" "Inside" 3770.438 1.00675 1
"113" "Beach" "01" "Inside" 3768.39882 1.00679 1
"114" "Beach" "01" "Inside" 3766.35965 1.00685 1
"115" "Beach" "01" "Inside" 3764.32047 1.00693 1
"116" "Beach" "01" "Inside" 3762.28129 1.00697 1
"117" "Beach" "01" "Inside" 3760.24212 1.0071 1
"118" "Beach" "01" "Inside" 3758.20294 1.00744 1
"119" "Beach" "01" "Inside" 3756.16376 1.0075 1
"120" "Beach" "01" "Inside" 3754.12459 1.00703 1
"121" "Beach" "01" "Inside" 3752.08541 1.00665 1
"122" "Beach" "01" "Inside" 3750.04623 1.00677 1
"123" "Beach" "01" "Inside" 3748.00706 1.00691 1
"124" "Beach" "01" "Inside" 3745.96788 1.00702 1
"125" "Beach" "01" "Inside" 3743.9287 1.00754 1
"126" "Beach" "01" "Inside" 3741.88953 1.00771 1
"127" "Beach" "01" "Inside" 3739.85035 1.00716 1
"128" "Beach" "01" "Inside" 3737.81117 1.00679 1
"129" "Beach" "01" "Inside" 3735.77199 1.00708 1
"130" "Beach" "01" "Inside" 3733.73282 1.00748 1
"131" "Beach" "01" "Inside" 3731.69364 1.00742 1
"132" "Beach" "01" "Inside" 3729.65446 1.00706 1
"133" "Beach" "01" "Inside" 3727.61529 1.00685 1
"134" "Beach" "01" "Inside" 3725.57611 1.00687 1
"135" "Beach" "01" "Inside" 3723.53693 1.00689 1
"136" "Beach" "01" "Inside" 3721.49776 1.00698 1
"137" "Beach" "01" "Inside" 3719.45858 1.00716 1
"138" "Beach" "01" "Inside" 3717.4194 1.00699 1
"139" "Beach" "01" "Inside" 3715.38023 1.00633 1
"140" "Beach" "01" "Inside" 3713.34105 1.00586 1
"141" "Beach" "01" "Inside" 3711.30187 1.00633 1
"142" "Beach" "01" "Inside" 3709.2627 1.00706 1
"143" "Beach" "01" "Inside" 3707.22352 1.00688 1
"144" "Beach" "01" "Inside" 3705.18434 1.00606 1
"145" "Beach" "01" "Inside" 3703.14517 1.00549 1
"146" "Beach" "01" "Inside" 3701.10599 1.0055 1
"147" "Beach" "01" "Inside" 3699.06681 1.00554 1
"148" "Beach" "01" "Inside" 3697.02763 1.00523 1
